parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,ceiling_runtime,ceiling_nodes,ceiling_pruned_bound,ceiling_pruning_rate,ceiling_makespan,ceiling_status,maxlpt_runtime,maxlpt_nodes,maxlpt_pruned_bound,maxlpt_pruning_rate,maxlpt_makespan,maxlpt_status,match_makespan,node_reduction_pct,speedup
budget,4.8,0,48000,8,4,4.8,0.01600027084350586,0,0,0.0,325.0,success,0.03100299835205078,0,0,0.0,325.0,success,True,,
budget,4.8,1,48001,8,4,4.8,0.02350616455078125,0,0,0.0,741.0,success,0.05276036262512207,0,0,0.0,741.0,success,True,,
budget,4.8,2,48002,8,4,4.8,0.021999359130859375,0,0,0.0,476.0,success,0.044440269470214844,0,0,0.0,476.0,success,True,,
budget,4.8,3,48003,8,4,4.8,29.050891876220703,218257,211005,0.9667731160970782,399.0,success,23.98238492012024,95466,91719,0.960750424234806,399.0,success,True,56.259822136288875,1.2113429074290354
budget,4.8,4,48004,8,4,4.8,143.33233165740967,435982,393019,0.9014569408828805,208.0,success,88.91193509101868,62904,52061,0.8276262240874984,208.0,success,True,85.57188140794804,1.6120707699217334
budget,5.0,0,50000,8,4,5.0,0.022662639617919922,0,0,0.0,396.0,success,0.0534665584564209,0,0,0.0,396.0,success,True,,
budget,5.0,1,50001,8,4,5.0,0.022005081176757812,0,0,0.0,442.0,success,0.05150794982910156,0,0,0.0,442.0,success,True,,
budget,5.0,2,50002,8,4,5.0,3.6489667892456055,4012,3441,0.8576769690927218,360.0,success,2.8500022888183594,872,621,0.7121559633027523,360.0,success,True,78.26520438683949,1.280338196064574
budget,5.0,3,50003,8,4,5.0,11.320724248886108,65176,59816,0.9177611390695962,352.0,success,7.705485582351685,12450,10386,0.8342168674698796,352.0,success,True,80.89787651896403,1.4691772670128165
budget,5.0,4,50004,8,4,5.0,2.724802017211914,58848,56856,0.9661500815660685,352.0,success,0.15578460693359375,2168,2068,0.9538745387453874,352.0,success,True,96.31593257205002,17.49082961947206
budget,5.2,0,52000,8,4,5.2,0.021429061889648438,0,0,0.0,740.0,success,0.04678702354431152,0,0,0.0,740.0,success,True,,
budget,5.2,1,52001,8,4,5.2,0.07050514221191406,488,377,0.7725409836065574,450.0,success,0.07036685943603516,196,153,0.7806122448979592,450.0,success,True,59.83606557377049,1.0019651690723046
budget,5.2,2,52002,8,4,5.2,0.0885155200958252,293,230,0.7849829351535836,731.0,success,0.09468221664428711,253,205,0.8102766798418972,731.0,success,True,13.651877133105806,0.9348695376278562
budget,5.2,3,52003,8,4,5.2,0.033995628356933594,0,0,0.0,500.0,success,0.05918121337890625,0,0,0.0,500.0,success,True,,
budget,5.2,4,52004,8,4,5.2,0.9463191032409668,12735,11791,0.925873576756969,338.0,success,0.26796722412109375,1638,1533,0.9358974358974359,338.0,success,True,87.13780918727916,3.531473322324403
budget,5.4,0,54000,8,4,5.4,0.020004987716674805,0,0,0.0,420.0,success,0.05451226234436035,0,0,0.0,420.0,success,True,,
budget,5.4,1,54001,8,4,5.4,0.022003173828125,0,0,0.0,558.0,success,0.05870985984802246,0,0,0.0,558.0,success,True,,
budget,5.4,2,54002,8,4,5.4,0.025184154510498047,0,0,0.0,429.0,success,0.049962759017944336,0,0,0.0,429.0,success,True,,
budget,5.4,3,54003,8,4,5.4,0.17402100563049316,2213,2162,0.9769543605964753,676.0,success,0.16851449012756348,1122,1085,0.9670231729055259,676.0,success,True,49.29959331224582,1.0326768071918404
budget,5.4,4,54004,8,4,5.4,0.05899810791015625,514,419,0.8151750972762646,425.0,success,0.06751346588134766,165,134,0.8121212121212121,425.0,success,True,67.89883268482491,0.8738717104798497
budget,5.6,0,56000,8,4,5.6,0.22092485427856445,1523,1396,0.9166119500984898,435.0,success,0.19916415214538574,487,433,0.8891170431211499,435.0,success,True,68.0236375574524,1.1092601349127018
budget,5.6,1,56001,8,4,5.6,0.0197293758392334,0,0,0.0,385.0,success,0.045000314712524414,0,0,0.0,385.0,success,True,,
budget,5.6,2,56002,8,4,5.6,0.02000117301940918,0,0,0.0,418.0,success,0.04737234115600586,0,0,0.0,418.0,success,True,,
budget,5.6,3,56003,8,4,5.6,3.9315667152404785,852,458,0.5375586854460094,828.0,success,3.0526010990142822,485,222,0.4577319587628866,828.0,success,True,43.07511737089202,1.2879398872358474
